1,Quincy,fe:2b:2a:7e:37:9e,AES,WPA2PSK,70,11b\/g\/n,NONE
6,TP-LINK_7640,20:6b:e7:33:76:40,AES,NONE,13,11b\/g\/n,BELOW
6,TPGuest_7640,32:6b:e7:33:76:40,AES,WPA1PSKWPA2PSK,10,11b\/g\/n,BELOW
6,Fergus_House_Wi-Fi,88:5b:dd:b4:7c:d4,AES,WPA2PSK,68,11b\/g\/n,NONE
11,TP-LINK_MH,d4:6e:0e:64:b4:f7,AES,WPA1PSKWPA2PSK,5,11b\/g\/n,NONE
